instname,state,tuition,revenue,control,total_enrollment,all_employees
Cypress College,California,4560,234911245,1,37908,2067
De Anza College,California,5490,336871673,1,43484,2112
Marinello Schools of Beauty,California,,5886973,3,428,36
International School of Beauty Inc,California,,1177429,3,93,14
Dell'Arte International School of Physical Theatre,California,11500,1048123,2,44,23
College of the Desert,California,5572,98888176,1,12237,925
Design Institute of San Diego,California,15700,4431705,3,306,56
DeVry University-California,California,14400,133334675,3,8993,1178
Dominican University of California,California,33540,50747189,2,2094,522
Dominican School of Philosophy & Theology,California,,2620862,2,79,36
Marinello Schools of Beauty,California,,8149933,3,654,70
El Camino Community College District,California,4900,155863359,1,27237,1387
Elegance International,California,,1642056,3,48,17
Marinello Schools of Beauty,California,,13807329,3,1064,90
Emperor's College of Traditional Oriental Medicine,California,,2842959,3,196,71
Empire College School of Business,California,,5145866,3,718,71
The Fashion Institute of Design & Merchandising-Los Angeles,California,25011,139029569,3,6152,1106
Fashion Careers College,California,19900,1739510,3,75,21
Feather River Community College District,California,5700,24190032,1,2267,166
Federico Beauty Institute,California,,3383130,3,243,40
Fielding Graduate University,California,,26559434,2,1695,225
Five Branches University,California,,5866943,2,323,124
Hair California Beauty Academy,California,,408243,3,155,3
Franciscan School of Theology,California,,1913176,2,63,26
Fredrick and Charles Beauty College,California,,578828,3,74,7
Fresno City College,California,5040,127889612,1,25511,1366
Fresno Pacific University,California,23640,42743070,2,2668,452
Fuller Theological Seminary in California,California,,36914000,2,2966,609
Galen College of Medical and Dental Assistants,California,,957536,3,130,16
Gavilan College,California,5280,44608760,1,8087,395
Gemological Institute of America,California,,18236000,2,1447,85
Glendale Community College,California,4968,116683099,1,16781,1024
Glendale Career College,California,,4407009,3,334,58
Golden Gate University-San Francisco,California,13440,65668353,2,3586,899
Graduate Theological Union,California,,10717948,2,240,65
Salon Success Academy,California,,852003,3,55,3
Hartnell College,California,5790,74671437,1,10451,485
Harvey Mudd College,California,38222,61421100,2,763,306
Heald College-San Francisco,California,12240,183585909,3,13637,1331
Hilltop Beauty School,California,,151666,3,190,11
Holy Names University,California,27000,22153054,2,1135,237
Pacifica Graduate Institute,California,,21293526,3,663,206
Humboldt State University,California,11160,144380878,1,7954,1213
Humphreys College-Stockton and Modesto Campuses,California,9648,10830041,2,867,152
Imperial Valley College,California,6091,71529971,1,8831,524
Institute for Business and Technology,California,,8821704,3,691,62
LA College International,California,,4755467,3,589,110
Interior Designers Institute,California,15950,3607885,3,355,33
Toni & Guy Hairdressing Academy,California,,1591722,3,74,15
ITT Technical Institute-San Diego,California,16848,23158226,3,1430,172
