instname,state,tuition,revenue,control,total_enrollment,all_employees
Methodist Theological School in Ohio,Ohio,,7360215,2,227,67
Miami University-Oxford,Ohio,24480,536378502,1,22247,5149
Miami-Jacobs Career College,Ohio,11412,13936271,3,621,91
Moler Hollywood Beauty Academy,Ohio,,702655,3,162,16
Miami Valley Career Technology Center,Ohio,,4890738,1,432,177
Moore University of Hair Design,Ohio,,,3,18,4
Mount Carmel College of Nursing,Ohio,14335,12261876,2,782,93
Mount Union College,Ohio,23630,56411761,2,2212,525
Mount Vernon Nazarene University,Ohio,19730,42131085,2,2622,524
College of Mount St. Joseph,Ohio,22000,40181700,2,2324,475
Zane State College,Ohio,7650,29173253,1,2592,296
Muskingum University,Ohio,19190,42440845,2,2207,373
National Institute of Technology,Ohio,11474,10366664,3,812,144
Brown Mackie College-North Canton,Ohio,10116,19385331,3,1199,108
National Beauty College,Ohio,,1195742,3,122,14
North Central State College,Ohio,4896,22409107,1,3595,356
Northern Institute of Cosmetology,Ohio,,245157,3,29,4
Northwest State Community College,Ohio,6000,25075337,1,3665,322
Toledo Public Schools Adult & Continuing Education,Ohio,,2271252,1,338,29
Notre Dame College,Ohio,22192,25515211,2,1872,279
Northeastern Ohio Universities Colleges of Medicine and Pharmacy,Ohio,,53279787,1,690,318
University of Northwestern Ohio,Ohio,13100,53156033,2,3883,389
Oberlin College,Ohio,39686,202976794,2,2939,1139
Ohio College of Podiatric Medicine,Ohio,,14459359,2,435,86
Ohio College of Massotherapy Inc,Ohio,10763,1304555,2,121,27
Ohio Technical College,Ohio,,16515088,3,1259,144
Ohio Dominican University,Ohio,24116,37020534,2,3052,416
Kaplan College,Ohio,19903,12143617,3,801,119
Ohio Northern University,Ohio,31626,109509257,2,3636,676
Ohio State Beauty Academy,Ohio,,1126794,3,173,15
Ohio State College of Barber Styling,Ohio,,858191,3,142,11
Ohio State School of Cosmetology & Experts Barber School,Ohio,,5733763,3,418,50
Ohio State University-Main Campus,Ohio,21555,4564663793,1,63217,30863
Ohio University-Main Campus,Ohio,17937,604717106,1,32359,6398
Ohio Valley College of Technology,Ohio,9590,2362508,3,183,26
Trinity Health System School of Nursing,Ohio,7379,926452,2,119,18
Ohio Wesleyan University,Ohio,34570,81913226,2,1893,536
Otterbein College,Ohio,27321,67314204,2,3063,604
Owens Community College,Ohio,5160,118470038,1,22530,1917
Paramount Beauty Academy,Ohio,,359048,3,92,11
School of Nursing at Cuyahoga Valley Career Center,Ohio,,1417996,1,130,19
Payne Theological Seminary,Ohio,,1966994,2,138,28
Pontifical College Josephinum,Ohio,16701,6557229,2,137,75
Professional Skills Institute,Ohio,12928,4610018,3,395,82
Firelands Regional Medical Center School of Nursing,Ohio,11203,1170914,2,85,18
Rabbinical College Telshe,Ohio,7400,1801946,2,57,38
Raphaels School of Beauty Culture,Ohio,,2033772,3,279,37
RETS College,Ohio,9721,36084670,3,1920,275
University of Rio Grande,Ohio,18260,25319758,2,2096,308
School of Advertising Art Inc,Ohio,21350,2800851,3,126,31
Shawnee State University,Ohio,9528,57430681,1,4300,596
Sinclair Community College,Ohio,6368,164719953,1,21561,2336
Gallipolis Career College,Ohio,9600,1745940,3,163,22
Daymar College,Ohio,12960,8340638,3,717,112
Southwestern College,Ohio,10500,30858564,3,4118,362
Stark State College of Technology,Ohio,4488,70676038,1,12476,1113
Stautzenberger College,Ohio,8280,9178633,3,975,99
Franciscan University of Steubenville,Ohio,19250,60233214,2,2725,394
Southern State Community College,Ohio,6528,26177736,1,3363,462
Temple Baptist College,Ohio,8604,578634,2,56,15
Terra State Community College,Ohio,5463,20655935,1,3152,335
Tiffin Academy of Hair Design,Ohio,10325,509932,3,75,10
Tiffin University,Ohio,17730,34728074,2,3429,475
University of Toledo,Ohio,15627,794520483,1,23064,4757
Kaplan Career Institute,Ohio,14275,10288193,3,678,72
Tri-State Bible College,Ohio,4800,214829,2,60,8
Tri-County Adult Career Center,Ohio,,1243115,1,126,14
Tri-Rivers Career Center,Ohio,,1518428,1,186,51
Trinity Lutheran Seminary,Ohio,,5563397,2,151,45
Trumbull Business College,Ohio,12096,4496010,3,417,65
Union Institute & University,Ohio,10896,23801697,2,1523,441
United Theological Seminary,Ohio,,5387207,2,245,54
Upper Valley Joint Vocational School,Ohio,,2571168,1,518,88
Urbana University,Ohio,19600,16374269,2,1540,164
Ursuline College,Ohio,22770,26278186,2,1515,340
Valley Beauty School,Ohio,,992797,3,172,21
Virginia Marti College of Art and Design,Ohio,15300,3968505,3,247,81
Cut Beauty School,Ohio,,496748,3,101,8
Walsh University,Ohio,20550,46041300,2,2760,523
Washington State Community College,Ohio,6840,18565821,1,2184,295
Western Hills School of Beauty and Hair Design,Ohio,,639765,3,284,23
Wilberforce University,Ohio,11240,15871923,2,710,239
Wilmington College,Ohio,23786,25598355,2,1602,267
Winebrenner Theological Seminary,Ohio,,1477130,2,84,23
Wittenberg University,Ohio,33890,59017513,2,1934,487
The College of Wooster,Ohio,34690,100243135,2,1853,744
Wright State University-Main Campus,Ohio,14325,374273099,1,18921,3509
Xavier University,Ohio,27900,168639317,2,6966,1254
ITT Technical Institute-Youngstown,Ohio,16848,14944217,3,788,94
Youngstown State University,Ohio,9420,189042690,1,14644,2134
American Broadcasting School,Oklahoma,,1994702,3,141,14
Bacone College,Oklahoma,9700,15147264,2,1021,200
Oklahoma Wesleyan University,Oklahoma,16870,15360164,2,1069,96
Southern Nazarene University,Oklahoma,17040,38479204,2,2110,515
Broken Arrow Beauty College Inc,Oklahoma,,628723,3,107,15
Pontotoc Technology Center,Oklahoma,,5363170,1,249,49
Cameron University,Oklahoma,8670,53905352,1,6126,771
Carl Albert State College,Oklahoma,1224,25577206,1,2473,330
Central State Beauty Academy,Oklahoma,,1218666,3,129,17
University of Central Oklahoma,Oklahoma,10110,161728599,1,16092,1823
Claremore Beauty College,Oklahoma,,118759,3,20,10
Connors State College,Oklahoma,4488,18162687,1,2335,210
East Central University,Oklahoma,9027,69659757,1,4612,580
Eastern Oklahoma State College,Oklahoma,5700,23150754,1,2084,301
Redlands Community College,Oklahoma,5153,12717712,1,2319,280
Enid Beauty College,Oklahoma,,627185,3,56,10
Eves College of Hairstyling,Oklahoma,,1221460,3,111,13
Hillsdale Free Will Baptist College,Oklahoma,8100,4344794,2,241,62
Hollywood Cosmetology Center,Oklahoma,,171702,3,18,4
Langston University,Oklahoma,8220,59605965,1,2749,505
Murray State College,Oklahoma,6240,21957336,1,2604,248
Spartan College of Aeronautics and Technology,Oklahoma,14570,22992501,3,1281,227
Northeastern State University,Oklahoma,9300,98254626,1,9239,1118
Beauty Technical College Inc,Oklahoma,,225257,3,28,8
Northern Oklahoma College,Oklahoma,5099,41311450,1,5228,520
Northeastern Oklahoma A&M College,Oklahoma,5558,23713735,1,2191,409
Northwestern Oklahoma State University,Oklahoma,9835,23004707,1,2210,345
Oklahoma State University Center for Health Sciences,Oklahoma,,132580570,1,427,536
Oklahoma Christian University,Oklahoma,14690,45254380,2,2171,397
University of Oklahoma Health Sciences Center,Oklahoma,13518,768231000,1,3934,5246
Oklahoma Panhandle State University,Oklahoma,8077,18301212,1,1266,171
Oklahoma State University-Main Campus,Oklahoma,14295,641851551,1,23033,7244
Oklahoma State University-Oklahoma City,Oklahoma,6199,35000606,1,7367,754
Oklahoma Baptist University,Oklahoma,16242,40474373,2,1764,366
Oklahoma City Community College,Oklahoma,6017,71883770,1,14114,947
Oklahoma City University,Oklahoma,22250,84579706,2,3829,721
University of Oklahoma Norman Campus,Oklahoma,13518,731373000,1,25881,7451
Oklahoma School of Photography,Oklahoma,10362,365540,3,37,7
Oklahoma State University Institute of Technology-Okmulgee,Oklahoma,8070,37209232,1,4129,423
Oral Roberts University,Oklahoma,18476,116303886,2,3140,742
Platt College-OKC Central Campus,Oklahoma,,4472279,3,146,38
Rogers State University,Oklahoma,8186,37737479,1,4235,475
Rose State College,Oklahoma,6795,56790719,1,8981,689
Saint Gregorys University,Oklahoma,15394,9342875,2,738,323
Standard Beauty College of Oklahoma LLC,Oklahoma,,484927,3,135,11
University of Science and Arts of Oklahoma,Oklahoma,7512,19407315,1,1091,179
Seminole State College,Oklahoma,5541,17360566,1,2444,234
Southern School of Beauty Inc,Oklahoma,,245077,3,29,1
State Barber and Hair Design College,Oklahoma,,,3,,5
Southeastern Oklahoma State University,Oklahoma,10010,48053003,1,4229,554
Southwestern Christian University,Oklahoma,10500,3693039,2,331,60
Southwestern Oklahoma State University,Oklahoma,8700,64560121,1,5010,566
Tulsa Community College,Oklahoma,5226,127641101,1,19730,2468
Tulsa Welding School,Oklahoma,,15283338,3,855,69
University of Tulsa,Oklahoma,26722,238171084,2,4187,1525
Virgils Beauty College,Oklahoma,,232498,3,30,5
Western Oklahoma State College,Oklahoma,4833,13653807,1,3820,264
Woodward Beauty College,Oklahoma,,56791,3,4,2
High Plains Technology Center,Oklahoma,,6055153,1,288,81
Academy of Hair Design Inc,Oregon,,755384,3,71,8
Abdill Career College Inc,Oregon,,1309994,3,114,16
The Art Institute of Portland,Oregon,21015,35375462,3,1925,250
Beau Monde College of Hair Design,Oregon,,1860503,3,196,19
Blue Mountain Community College,Oregon,9180,26465473,1,2720,362
Central Oregon Community College,Oregon,6696,48700629,1,6261,436
Chemeketa Community College,Oregon,10570,136141037,1,12217,1309
Clackamas Community College,Oregon,9457,74415435,1,8145,842
Clatsop Community College,Oregon,5184,18474886,1,2836,234
College of Hair Design Careers,Oregon,,830398,3,82,6
Concorde Career Institute,Oregon,,8793200,3,720,68
Concordia University,Oregon,22900,29370086,2,1901,406
Sumner College,Oregon,,2197105,3,188,55
East West College of the Healing Arts,Oregon,,3454539,3,347,62
Eastern Oregon University,Oregon,5109,45723747,1,3957,331
Phagans School of Hair Design,Oregon,,3366111,3,193,21
Eugene Bible College,Oregon,9900,4696662,2,107,45
George Fox University,Oregon,25860,66375407,2,3388,720
ITT Technical Institute-Portland,Oregon,16848,13873954,3,816,98
Lane Community College,Oregon,7668,164900667,1,12691,1163
Lewis & Clark College,Oregon,34995,126292124,2,3523,840
Linfield College,Oregon,28760,67880350,2,2532,561
Linn-Benton Community College,Oregon,7130,69382209,1,6512,1055
Marylhurst University,Oregon,16920,26590030,2,1902,348
Northwest College of Hair Design,Oregon,,2701411,3,134,43
Mount Angel Seminary,Oregon,12217,9228442,2,152,34
Mt Hood Community College,Oregon,9405,103083799,1,8897,1087
Multnomah University,Oregon,14520,14759000,2,851,204
National College of Natural Medicine,Oregon,,17340841,2,517,206
Northwest Nannies Institute,Oregon,,405456,3,49,8
Northwest Christian University,Oregon,22900,10944623,2,557,101
Oregon University System,Oregon,,23259144,1,,88
Oregon Health & Science University,Oregon,19692,1920436000,1,2583,5975
Oregon Institute of Technology,Oregon,16650,53172466,1,3915,377
Oregon College of Art and Craft,Oregon,19940,9830437,2,153,80
Oregon State University,Oregon,18360,712459318,1,22561,5220
University of Oregon,Oregon,22470,646983074,1,22335,5560
Pacific Northwest College of Art,Oregon,22320,13680890,2,600,192
Pacific University,Oregon,29290,91042089,2,3198,753
Phagans Central Oregon Beauty College,Oregon,,5707273,3,399,52
Phagans School of Hair Design,Oregon,,1420044,3,83,9
Phagans Tigard Beauty School,Oregon,,842409,3,54,5
Portland Community College,Oregon,7272,329618084,1,30161,3819
Portland State University,Oregon,19755,401700500,1,27901,3648
University of Portland,Oregon,30800,108418000,2,3706,737
Reed College,Oregon,39440,113124513,2,1481,494
Rogue Community College,Oregon,3204,53365856,1,5441,714
Roseburg Beauty College,Oregon,,386425,3,33,4
Pioneer Pacific College,Oregon,10166,24650914,3,1701,302
Springfield College of Beauty,Oregon,,1326104,3,75,13
Southern Oregon University,Oregon,18450,74786914,1,5104,713
Southwestern Oregon Community College,Oregon,2898,35824899,1,2206,376
Treasure Valley Community College,Oregon,3735,43555445,1,2618,382
Umpqua Community College,Oregon,8865,38517328,1,3209,403
Warner Pacific College,Oregon,22660,14511379,2,1332,213
Corban College,Oregon,22950,18454575,2,1103,215
College of Cosmetology,Oregon,,1062299,3,77,9
Everest College-Portland,Oregon,,16761043,3,1190,131
Western Seminary,Oregon,,9714418,2,856,180
Willamette University,Oregon,35400,97691775,2,2838,885
Western Oregon University,Oregon,16695,87535146,1,5649,849
Western States Chiropractic College,Oregon,7540,13978203,2,474,115
Abington Memorial Hospital Dixon School of Nursing,Pennsylvania,7500,4543433,2,249,40
Academy of Hair Design,Pennsylvania,,489321,3,34,8
Keystone Technical Institute,Pennsylvania,,3601301,3,250,49
Bryn Athyn College of the New Church,Pennsylvania,9741,7911331,2,211,191
Academy of Vocal Arts,Pennsylvania,,3656802,2,24,31
Albright College,Pennsylvania,30800,64100053,2,2358,547
All-State Career School,Pennsylvania,,12444485,3,202,118
Allegheny College,Pennsylvania,33240,82343201,2,2132,504
The Vision Academy,Pennsylvania,,1415808,3,82,15
DeSales University,Pennsylvania,26000,59299059,2,3150,596
Altoona Beauty School Inc,Pennsylvania,,594818,3,70,9
Alvernia University,Pennsylvania,23900,46498224,2,2856,474
Magnolia School,Pennsylvania,,1748788,3,132,13
American College,Pennsylvania,,38062713,2,378,159
Antonelli Institute,Pennsylvania,19200,5043164,3,228,37
The Art Institutes of York-PA,Pennsylvania,25110,15900687,3,706,117
The Art Institute of Philadelphia,Pennsylvania,21600,76611281,3,3616,380
Career Training Academy,Pennsylvania,,1020550,3,110,19
The Art Institute of Pittsburgh,Pennsylvania,22700,67781215,3,2765,341
Automotive Training Center,Pennsylvania,,6112394,3,280,35
Baptist Bible College and Seminary,Pennsylvania,15480,11517084,2,999,134
Community College of Beaver County,Pennsylvania,8055,30777881,1,2779,440
Arcadia University,Pennsylvania,30780,78240000,2,3953,922
Biblical Theological Seminary,Pennsylvania,,2872685,2,214,58
Bidwell Training Center Inc,Pennsylvania,,5174342,2,194,63
Bloomsburg University of Pennsylvania,Pennsylvania,13886,158618100,1,9512,1269
Bradford School,Pennsylvania,14160,9886682,3,601,40
Brandywine School of Nursing,Pennsylvania,11100,,3,47,15
Bryn Mawr College,Pennsylvania,37120,158142000,2,1771,778
Bucknell University,Pennsylvania,40594,228686000,2,3737,1259
Bucks County Community College,Pennsylvania,8910,81944309,1,11009,988
Buck's County School of Beauty Culture Inc,Pennsylvania,,742130,3,63,10
Butler Beauty School,Pennsylvania,,1424485,3,128,14
Butler County Community College,Pennsylvania,7110,26682993,1,4278,605
Cabrini College,Pennsylvania,30120,61538379,2,3547,543
California University of Pennsylvania,Pennsylvania,8888,135874545,1,9017,933
Calvary Baptist Theological Seminary,Pennsylvania,,1578668,2,102,28
Cambria Rowe Business College,Pennsylvania,9150,3934843,3,308,37
Carlow University,Pennsylvania,20854,35410811,2,2533,554
Carnegie Mellon University,Pennsylvania,39470,987480415,2,11197,7070
Cedar Crest College,Pennsylvania,27735,35837247,2,1887,414
Central Pennsylvania College,Pennsylvania,13140,16738171,3,1216,213
Chatham University,Pennsylvania,27270,49587732,2,2219,479
Chestnut Hill College,Pennsylvania,27000,36667056,2,2320,466
Cheyney University of Pennsylvania,Pennsylvania,13886,45892630,1,1488,309
CHI Institute,Pennsylvania,,15895845,3,920,103
Citizens School of Nursing,Pennsylvania,,1981381,2,191,29
Clarion University of Pennsylvania,Pennsylvania,11108,107437796,1,7346,948
YTI Career Institute,Pennsylvania,,3438232,3,295,49
Conemaugh Valley Memorial Hospital,Pennsylvania,,1687167,2,189,33
Consolidated School of Business,Pennsylvania,,2235768,3,152,21
The Curtis Institute of Music,Pennsylvania,0,11591343,2,159,145
Dean Institute of Technology,Pennsylvania,10950,1647749,3,147,31
Delaware County Community College,Pennsylvania,8370,89475933,1,12237,1271
Delaware Valley Academy of Medical and Dental Assistants,Pennsylvania,16350,,3,124,17
Delaware Valley College,Pennsylvania,25692,48665431,2,2266,451
Dickinson College,Pennsylvania,39780,141621624,2,2376,911
Douglas Education Center,Pennsylvania,8808,5074080,3,354,85
Drexel University,Pennsylvania,29800,780257324,2,22493,6124
Du Bois Business College,Pennsylvania,9225,3619753,3,395,54
Everest Institute-Pittsburgh,Pennsylvania,36738,11448308,3,762,84
Duquesne University,Pennsylvania,24385,268622000,2,10294,2836
East Stroudsburg University of Pennsylvania,Pennsylvania,13886,119305349,1,7576,1101
Eastern University,Pennsylvania,23770,74859233,2,4331,854
Edinboro University of Pennsylvania,Pennsylvania,8332,114528835,1,8286,981
Elizabethtown College,Pennsylvania,31800,67523712,2,2361,633
Empire Beauty School-State College,Pennsylvania,,399962,3,16,4
Empire Beauty School-Lebanon,Pennsylvania,,920128,3,33,4
Empire Beauty School-York,Pennsylvania,,2574650,3,148,12
Empire Beauty School-Lancaster,Pennsylvania,,2117610,3,106,8
Empire Beauty School-Williamsport,Pennsylvania,,1047517,3,50,8
Empire Beauty School-Shamokin Dam,Pennsylvania,,1204869,3,55,8
Empire Beauty School-Pottsville,Pennsylvania,,821067,3,43,4
Empire Beauty  School-Lehigh Valley,Pennsylvania,,2594639,3,136,14
Empire Beauty School-Gwinnett,Georgia,,2249091,3,105,12
Empire Beauty School-Wyoming Valley,Pennsylvania,,3152112,3,175,15
Empire Beauty School-Warminster,Pennsylvania,,1515385,3,92,9
Empire Beauty School-Harrisburg,Pennsylvania,,2733301,3,156,14
Empire Beauty School-Reading,Pennsylvania,,2122168,3,96,11
Episcopal School of Nursing,Pennsylvania,,,2,35,19
Erie Business Center,Pennsylvania,8130,4547854,3,413,62
Erie Institute of Technology Inc,Pennsylvania,11500,3927963,3,279,58
Evangelical Theological Seminary,Pennsylvania,,2267601,2,159,36
Frankford Hospital School of Nursing,Pennsylvania,10350,3218155,2,236,31
Franklin and Marshall College,Pennsylvania,39930,138892655,2,2175,791
Gannon University,Pennsylvania,23745,74695000,2,4238,810
Geneva College,Pennsylvania,21400,37862214,2,1960,453
Gettysburg College,Pennsylvania,38690,131033700,2,2547,840
Gratz College,Pennsylvania,12200,5221176,2,353,42
Grove City College,Pennsylvania,12590,46310119,2,2530,
Gwynedd Mercy College,Pennsylvania,23730,40426000,2,2630,493
Harcum College,Pennsylvania,17900,19241359,2,1154,320
Harrisburg Area Community College-Harrisburg,Pennsylvania,7965,155650008,1,22529,2238
Haverford College,Pennsylvania,38735,90829250,2,1190,587
Commonwealth Technical Institute,Pennsylvania,16836,21579128,2,235,41
Holy Family University,Pennsylvania,21810,44883834,2,3343,562
Hussian School of Art,Pennsylvania,12000,1596515,3,131,32
Kaplan Career Institute-ICM Campus,Pennsylvania,14981,15388276,3,1211,133
Immaculata University,Pennsylvania,26540,51785054,2,4302,625
Indiana University of Pennsylvania-Main Campus,Pennsylvania,13886,229732237,1,14638,1955
Pennsylvania School of Business,Pennsylvania,8600,2348974,3,427,55
Jameson Health System,Pennsylvania,6736,877541,2,72,23
Great Lakes Institute of Technology,Pennsylvania,,4395528,3,499,68
Jolie Hair and Beauty Academy of Wilkes-Barre,Pennsylvania,,1482210,3,108,10
Johnson College,Pennsylvania,14175,8120726,2,411,88
Juniata College,Pennsylvania,30880,45280476,2,1468,416
Keystone College,Pennsylvania,17570,25922018,2,1691,485
Anthem Institute-Springfield,Pennsylvania,,4759301,3,363,46
King's College,Pennsylvania,25644,55841166,2,2645,606
Kutztown University of Pennsylvania,Pennsylvania,13886,174059912,1,10634,1235
La Roche College,Pennsylvania,20740,22920741,2,1356,312
La Salle University,Pennsylvania,32500,131336318,2,6470,1389
Lackawanna College,Pennsylvania,11000,21474217,2,1494,368
Lafayette College,Pennsylvania,37520,175143332,2,2406,838
Lancaster Bible College and Graduate School,Pennsylvania,15240,18602988,2,981,173
Lancaster Theological Seminary,Pennsylvania,,4733515,2,133,56
Lancaster School of Cosmetology,Pennsylvania,,1233943,3,158,18
Lansdale School of Business,Pennsylvania,9660,3880752,3,463,50
Lansdale School of Cosmetology Inc,Pennsylvania,,597968,3,69,9
Lebanon Valley College,Pennsylvania,29780,51244528,2,2045,451
Lehigh Carbon Community College,Pennsylvania,7650,46275878,1,8127,791
Berks Technical Institute,Pennsylvania,12341,15415364,3,872,105
Lehigh University,Pennsylvania,38330,389613000,2,6996,2313
Levittown Beauty Academy,Pennsylvania,,607349,3,79,10
Lincoln Technical Institute,Pennsylvania,,7201253,3,894,64
Lincoln Technical Institute,Pennsylvania,23101,6788593,3,658,55
Lincoln University of Pennsylvania,Pennsylvania,9976,64836272,1,2649,539
Lock Haven University,Pennsylvania,11886,88807120,1,5329,610
St Margaret School of Nursing,Pennsylvania,6080,485627,2,153,31
Lutheran Theological Seminary at Gettysburg,Pennsylvania,,6904140,2,163,58
Lutheran Theological Seminary at Philadelphia,Pennsylvania,,11662325,2,282,51
Luzerne County Community College,Pennsylvania,7560,66826647,1,7130,840
Lycoming College,Pennsylvania,29344,45721909,2,1375,357
Manor College,Pennsylvania,12524,10107910,2,952,228
Mansfield University of Pennsylvania,Pennsylvania,13886,65916262,1,3569,515
Marywood University,Pennsylvania,25150,70021502,2,3471,900
Vet Tech Institute,Pennsylvania,12840,4397705,3,345,29
Roxborough Memorial Hospital School of Nursing,Pennsylvania,9918,1595242,3,129,34
Mercyhurst College,Pennsylvania,22740,79136983,2,4373,874
Messiah College,Pennsylvania,25900,98398323,2,2801,769
Metropolitan Career Center Computer Technology Institute,Pennsylvania,23994,2048293,2,110,27
Millersville University of Pennsylvania,Pennsylvania,13866,139764833,1,8427,1189
Misericordia University,Pennsylvania,22850,52246045,2,2736,556
Montgomery County Community College-Central Campus,Pennsylvania,8100,84823987,1,13310,1499
Moore College of Art and Design,Pennsylvania,28140,17220585,2,582,189
Moravian College and Moravian Theological Seminary,Pennsylvania,30735,56980784,2,2057,543
Mount Aloysius College,Pennsylvania,16580,27981604,2,1604,313
Muhlenberg College,Pennsylvania,36730,100836482,2,2517,726
Neumann University,Pennsylvania,20290,50946774,2,3099,487
New Castle School of Trades,Pennsylvania,,9071188,3,802,76
Newport Business Institute,Pennsylvania,9750,918829,3,64,17
Northampton County Area Community College,Pennsylvania,6930,78658344,1,11196,1705
Ohio Valley Hospital School of Nursing,Pennsylvania,12429,-757750,2,86,12
Orleans Technical Institute,Pennsylvania,,7328363,2,665,116
Pennsylvania Academy of Cosmetology Arts and Sciences,Pennsylvania,,432504,3,68,10
Salus University,Pennsylvania,,37390980,2,1166,268
Pennsylvania Institute of Technology,Pennsylvania,9450,15304831,2,1046,228
Pennsylvania State System of Higher Education-Central Office,Pennsylvania,,36371019,1,,192
Pennsylvania State University-Main Campus,Pennsylvania,25134,4460367000,1,80754,27933
Pace Institute,Pennsylvania,6240,3001649,3,288,28
Peirce College,Pennsylvania,13800,23267819,2,2083,262
Penn Commercial Business/Technical School,Pennsylvania,18000,6067269,3,506,64
Pennco Tech,Pennsylvania,,22984444,3,1486,164
Pennsylvania Academy of Cosmetology Arts and Sciences,Pennsylvania,,345863,3,48,5
Pennsylvania Academy of the Fine Arts,Pennsylvania,22596,17182667,2,339,89
Pennsylvania Gunsmith School,Pennsylvania,,712342,3,50,9
Pennsylvania Institute of Taxidermy Inc,Pennsylvania,19999,425957,3,10,4
Cortiva Institute-Pennsylvania School of Muscle Therapy,Pennsylvania,,1763869,3,159,24
Pennsylvania College of Art and Design,Pennsylvania,16500,5111293,2,278,76
University of Pennsylvania,Pennsylvania,34868,6074477000,2,24599,16557
Philadelphia University,Pennsylvania,27428,88328635,2,3497,826
The University of the Arts,Pennsylvania,30700,73581243,2,2403,798
Philadelphia Biblical University-Langhorne,Pennsylvania,18872,26493996,2,1357,243
Philadelphia College of Osteopathic Medicine,Pennsylvania,,97378909,2,2201,580
University of the Sciences in Philadelphia,Pennsylvania,28190,99924682,2,2984,794
Community College of Philadelphia,Pennsylvania,10980,135512595,1,19048,1613
University of Pittsburgh-Pittsburgh Campus,Pennsylvania,23042,2060311687,1,35394,14748
Beaver Falls Beauty Academy,Pennsylvania,,574736,3,55,5
Pittsburgh Institute of Aeronautics,Pennsylvania,12450,7356307,2,256,80
Pittsburgh Institute of Mortuary Science Inc,Pennsylvania,,2413919,2,193,31
Pittsburgh Technical Institute,Pennsylvania,14400,36916014,3,2192,316
Pittsburgh Theological Seminary,Pennsylvania,,23020647,2,337,92
PJA School,Pennsylvania,12235,4958142,3,371,37
Point Park University,Pennsylvania,20720,72069039,2,3985,988
Schuylkill Health School of Nursing,Pennsylvania,9450,1214114,2,61,16
Pruonto's Hair Design Institute Inc,Pennsylvania,,257273,3,15,6
Reading Area Community College,Pennsylvania,6930,34301124,1,5425,448
The Reading Hospital School of Health Sciences,Pennsylvania,11440,609779,2,470,64
Reconstructionist Rabbinical College,Pennsylvania,,5335471,2,59,67
Reformed Presbyterian Theological Seminary,Pennsylvania,,1394349,2,115,21
The Restaurant School at Walnut Hill College,Pennsylvania,17850,10129743,3,346,73
CHI Institute-Broomall,Pennsylvania,14400,9497872,3,783,86
Robert Morris University,Pennsylvania,19950,92872653,2,4783,785
Rosedale Technical Institute,Pennsylvania,11480,7222940,2,299,39
Rosemont College,Pennsylvania,25000,18895527,2,940,255
Saint Francis University,Pennsylvania,24504,61394537,2,2300,638
Saint Joseph's University,Pennsylvania,33940,205363459,2,8337,1520
Saint Vincent College,Pennsylvania,25350,59115423,2,2066,498
Schuylkill Technology Center,Pennsylvania,,2206164,1,166,64
University of Scranton,Pennsylvania,32824,154783094,2,5811,1282
Seton Hill University,Pennsylvania,26322,42139765,2,2136,433
Heritage Valley Sewickley School of Nursing,Pennsylvania,7680,838886,2,98,17
University of Pittsburgh Medical Center-Shadyside School of Nursing,Pennsylvania,14160,5708023,2,494,67
Sharon Regional Health System School of Nursing,Pennsylvania,,266741,2,24,16
Laurel Technical Institute,Pennsylvania,7600,2947815,3,257,39
Shippensburg University of Pennsylvania,Pennsylvania,13886,130578869,1,8253,1041
Slippery Rock University of Pennsylvania,Pennsylvania,8331,141429352,1,8648,1151
Saint Charles Borromeo Seminary-Overbrook,Pennsylvania,14240,7934305,2,245,108
South Hills Beauty Academy Inc,Pennsylvania,,996079,3,90,15
South Hills School of Business & Technology,Pennsylvania,13473,4739479,3,707,133
St Lukes Hospital School of Nursing,Pennsylvania,10670,1412579,2,134,24
St Tikhon's Orthodox Theological Seminary,Pennsylvania,,,2,,
Stroudsburg School of Cosmetology,Pennsylvania,,401625,3,34,6
Susquehanna University,Pennsylvania,32050,78988401,2,2231,599
Swarthmore College,Pennsylvania,37510,240306000,2,1525,959
Thaddeus Stevens College of Technology,Pennsylvania,6220,15904490,1,887,164
Talmudical Yeshiva of Philadelphia,Pennsylvania,7500,4228740,2,120,12
Temple University,Pennsylvania,21044,2195651285,1,36507,8939
Theological Seminary of the Reformed Episcopal Church,Pennsylvania,,,2,13,14
Thiel College,Pennsylvania,20998,26959303,2,999,273
Thomas Jefferson University,Pennsylvania,25739,658056061,2,3326,2397
Tri-State Business Institute,Pennsylvania,13300,43255026,3,2067,243
Triangle Tech Inc-Pittsburgh,Pennsylvania,13864,23479622,3,1208,175
Trinity Episcopal School for Ministry,Pennsylvania,,4642680,2,175,50
Ursinus College,Pennsylvania,38500,74912663,2,1742,424
Valley Forge Christian College,Pennsylvania,13282,18495410,2,1176,127
Valley Forge Military College,Pennsylvania,,9453451,2,315,27
Venus Beauty Academy,Pennsylvania,,1247092,3,123,17
Villanova University,Pennsylvania,38240,385636787,2,10375,2806
Washington Hospital School of Nursing,Pennsylvania,10709,3229520,2,191,25
Washington Hospital School of Radiography,Pennsylvania,10775,338234,2,25,3
Washington & Jefferson College,Pennsylvania,32495,57303592,2,1514,353
Waynesburg University,Pennsylvania,17400,46405260,2,2515,431
Welder Training and Testing Institute,Pennsylvania,,2264416,3,77,18
West Chester University of Pennsylvania,Pennsylvania,13886,217939601,1,14211,1779
Western Pennsylvania Hospital School of Nursing,Pennsylvania,4638,998199,2,128,28
