instname,state,tuition,revenue,control,total_enrollment,all_employees,LONGITUD,LATITUDE
Arkansas Tech University,Arkansas,4704,41211512,4840,565,-93.134649,35.293505,
University of Arkansas at Monticello,Arkansas,4860,20929013,2254,303,-91.80068,33.59223,
Arthur's Beauty College Inc,Arkansas,,255579.003,46,,-92.103665,34.891119,
Baptist Health Schools of Nursing and Allied Health,Arkansas,7990,1394829.002,548,,-92.40547,34.712269,
Bee Jays Academy,Arkansas,,246288.003,26,,-92.405875,34.769604,
Black River Technical College,Arkansas,4056,9104817.001,1243,84,-90.913157,36.237882,
University of Central Arkansas,Arkansas,5422,80570721,8739,1097,-92.454235,35.079315,
Central Baptist College,Arkansas,5424,3102356.002,321,55,-92.509599,35.089094,
Cossatot Community College of the University of Arkansas,Arkansas,3600,5690174.001,819,174,-94.366883,34.044332,
Crowley's Ridge College,Arkansas,4470,1378462.002,168,40,-90.58468,36.066294,
Crowleys Ridge Technical Institute,Arkansas,900,3972651.001,394,,-90.77586,35.02685,
De Luxe Beauty School,Arkansas,,320099.003,25,,-92.018492,34.203384,
East Arkansas Community College,Arkansas,1140,8023149.001,1176,163,-90.775976,35.028127,
Eastern College of Health Vocations,Arkansas,,6151110.003,488,,-92.341312,34.751221,
Eaton Beauty Stylist College Inc,Arkansas,,52227.003,13,,-92.22215,34.789458,
National Park Community College,Arkansas,2760,10377586,2192,181,-93.119307,34.513294,
University of Arkansas Community College-Batesville,Arkansas,1920,5822113.001,994,114,-91.602593,35.791214,
Harding University,Arkansas,7755,71789135,4150,736,-91.728772,35.249646,
Henderson State University,Arkansas,4560,30851983,3500,537,-93.059794,34.125583,
Hendrix College,Arkansas,11440,34253552,1147,257,-92.444187,35.100058,
Hot Springs Beauty College,Arkansas,,874258.003,51,,-93.038379,34.496247,
Jefferson School of Nursing,Arkansas,1663,372376.002,124,,-92.018188,34.189017,
John Brown University,Arkansas,10232,33067399,1517,354,-94.557506,36.187187,
Lees School of Cosmetology,Arkansas,,361968.003,32,,-92.296459,34.782806,
Career Academy of Hair Design,Arkansas,,201258.003,43,,-94.132458,36.167258,
Marsha Kay Beauty College,Arkansas,,42012.003,9,,-92.386184,36.344709,
Mellies Beauty College,Arkansas,,176061.003,25,,-94.416278,35.380998,
Mid-South Community College,Arkansas,1296,7440037.221,1119,181,-90.22127,35.14662,
Arkansas Northeastern College,Arkansas,2328,9594065.001,1915,246,-89.918761,35.90313,
Margarets Hair Academy Inc,Arkansas,,99991.003,,,-91.788227,33.628754,
New Tyler Barber College Inc,Arkansas,,73963.003,51,,-92.253611,34.759745,
North Arkansas College,Arkansas,2376,12348688,1809,254,-93.090825,36.221638,
Northwest Technical Institute,Arkansas,2400,4480580.001,2218,,-94.116394,36.178477,
Ouachita Baptist University,Arkansas,8850,39965276.77,1638,292,-93.05137,34.124607,
Ouachita Technical College,Arkansas,2736,5322928.001,896,138,-92.81295,34.36231,
Ozarka College,Arkansas,3576,5279985.001,829,110,-91.89651,36.051677,
University of the Ozarks,Arkansas,8290,15897548,596,161,-93.466236,35.475014,
University of Arkansas Community College-Morrilton,Arkansas,1728,6714662.461,1236,139,-92.728703,35.170759,
Philander Smith College,Arkansas,3360,13699393,932,141,-92.28242,34.73666,
Phillips Community College of the University of Arkansas,Arkansas,2040,14431907,1871,273,-90.6184,34.5458,
Southeast Arkansas College,Arkansas,1800,7163459.341,1789,142,-92.024776,34.209797,
Professional Cosmetology Education Center,Arkansas,,201051.003,,,-92.663857,33.215807,
Pulaski Technical College,Arkansas,2400,11867463.08,4112,287,-92.298867,34.785194,
University of Arkansas Community College-Hope,Arkansas,2064,8311415.001,1235,146,-93.58713,33.64641,
Rich Mountain Community College,Arkansas,3312,5483470.001,846,66,-94.218089,34.590187,
Searcy Beauty College Inc,Arkansas,,74035.003,43,,-91.734519,35.23777,
Williams Baptist College,Arkansas,6000,6349811.002,637,91,-90.932278,36.125156,
South Arkansas Community College,Arkansas,2328,9096439.881,1173,165,-92.665579,33.210435,
Southern Arkansas University Main Campus,Arkansas,3240,24966056,2871,295,-93.2353,33.288656,
Southern Arkansas University Tech,Arkansas,1320,9047141.001,788,132,-92.82958,33.58698,
Velvatex College of Beauty Culture,Arkansas,,55370.003,21,,-92.289685,34.730722,
University of Arkansas-Fort Smith,Arkansas,3120,28505994,5598,535,-94.374213,35.385306,
Abram Friedman Occupational Center,California,,,1,,,-118.266121,34.034208
Academy of Art University,California,13500,55911369,5638,903,-122.400721,37.787685,
ITT Technical Institute,California,8073,5521493.003,438,43,-121.281629,38.591135,
Academy of Chinese Culture and Health Sciences,California,,1882907.002,166,64,-122.272799,37.80664,
The Academy of Radio Broadcasting,California,,1315964.003,174,,-117.990398,33.7689,
Alameda Beauty College,California,,472723.003,91,,-122.243386,37.764443,
College of Alameda,California,3600,88286720,23773,1291,-122.280528,37.779884,
Allan Hancock College,California,3750,54074492,8382,799,-120.424824,34.943821,
American Academy of Dramatic Arts-West,California,,2744617.002,185,,-118.344097,34.095315,
American Baptist Seminary of the West,California,,1741739.302,74,20,-122.256007,37.865388,
American Film Institute Conservatory,California,,24700724,296,,-118.309348,34.107558,
American Beauty College,California,,102262.003,24,,-117.937209,34.069634,
American Intercontinental University,California,11850,11833100,446,,-118.415776,33.978529,
American Career College,California,,9074064.003,1321,,-118.29239,34.079012,
