instname,state,tuition,revenue,control,total_enrollment,all_employees,LONGITUD,LATITUDE
Mid-South Community College,Arkansas,1296,7440037.22,1,1119,181,-90.22127,35.14662
University of Arkansas Community College-Morrilton,Arkansas,1728,6714662.46,1,1236,139,-92.728703,35.170759
Searcy Beauty College Inc,Arkansas,,74035,3,43,,-91.734519,35.23777
Harding University,Arkansas,7755,71789135,2,4150,736,-91.728772,35.249646
ARKANSAS BEAUTY SCHOOL,Arkansas,,,3,,,-93.135284,35.278587
Arkansas Tech University,Arkansas,4704,41211512,1,4840,565,-93.134649,35.293505
Askins Vo-Tech,Arkansas,,55370,3,18,,-94.422728,35.311908
Arthur's Beauty College Inc-Fort Smith,Arkansas,,319516,3,50,,-94.410982,35.380232
Mellies Beauty College,Arkansas,,176061,3,25,,-94.416278,35.380998
University of Arkansas-Fort Smith,Arkansas,3120,28505994,1,5598,535,-94.374213,35.385306
University of the Ozarks,Arkansas,8290,15897548,2,596,161,-93.466236,35.475014
Lyon College,Arkansas,10272,17207435,2,462,178,-91.628158,35.77897
University of Arkansas Community College-Batesville,Arkansas,1920,5822113,1,994,114,-91.602593,35.791214
Arkansas State University System Office,Arkansas,,1501972,1,,,-90.677217,35.821266
Arkansas State University-Main Campus,Arkansas,6024,102284608,1,10461,1583,-90.680478,35.842779
Arkansas Northeastern College,Arkansas,2328,9594065,1,1915,246,-89.918761,35.90313
Ozarka College,Arkansas,3576,5279985,1,829,110,-91.89651,36.051677
Crowley's Ridge College,Arkansas,4470,1378462,2,168,40,-90.58468,36.066294
University of Arkansas Main Campus,Arkansas,7784,349780486,1,15167,4199,-94.17569,36.0671
Blue Cliff College,Arkansas,10600,1333249,3,114,,-94.145006,36.112696
Williams Baptist College,Arkansas,6000,6349811,2,637,91,-90.932278,36.125156
Career Academy of Hair Design,Arkansas,,201258,3,43,,-94.132458,36.167258
Northwest Technical Institute,Arkansas,2400,4480580,1,2218,,-94.116394,36.178477
John Brown University,Arkansas,10232,33067399,2,1517,354,-94.557506,36.187187
Ecclesia College,Arkansas,9440,567095,2,234,0,-94.23789,36.21549
North Arkansas College,Arkansas,2376,12348688,1,1809,254,-93.090825,36.221638
Black River Technical College,Arkansas,4056,9104817,1,1243,84,-90.913157,36.237882
Arkansas State University-Mountain Home,Arkansas,1824,5092368,1,1069,92,-92.382285,36.319856
Bryan College,Arkansas,25272,3335801,3,159,26,-94.170128,36.334602
University of Phoenix-Northwest Arkansas Campus,Arkansas,9750,2103000,3,205,,-94.17996,36.344427
Marsha Kay Beauty College,Arkansas,,42012,3,9,,-92.386184,36.344709
NorthWest Arkansas Community College,Arkansas,2400,14055733,1,3923,359,-94.172487,36.357839
Colegio de las Ciencias Arte y Television,Bayamon,,1493899,3,214,,-66.154987,18.399342
Avance Beauty College,California,,217273,3,18,,-117.061966,32.581568
Pima Medical Institute,California,,1530105,3,,23,-117.092691,32.619591
Southwestern College,California,3630,68993497,1,16349,1115,-116.994233,32.642043
Interamerican College,California,,797193,2,40,0,-117.106165,32.668296
Bay Vista College of Beauty,California,,773736,3,115,,-117.089833,32.676836
International Polytechnic Institute,California,,50950,2,18,8,-115.493338,32.69069
Concorde Career Institute,California,,1839000,3,277,,-117.101752,32.704012
CET-San Diego,California,,654392,2,79,,-117.104837,32.711482
Career College of San Diego,California,,466848,3,26,,-117.122158,32.711832
Newschool of Architecture and Design,California,15750,2064149,3,132,40,-117.153151,32.713656
Associated Technical College,California,,3847120,3,157,,-117.157997,32.715643
Point Loma Nazarene University,California,13188,48617631,2,2711,529,-117.251734,32.717742
Paul Mitchell the School-San Diego,California,,4248955,3,318,,-117.160815,32.718826
