instname,state,tuition,revenue,control,total_enrollment,all_employees,LONGITUD,LATITUDE
Everest College-Springfield Campus,Missouri,5616,4202193,3,590,27,-93.304651,37.182305
Missouri State University,Missouri,6060,173646692,1,18785,2671,-93.276236,37.198544
Ozarks Technical Community College,Missouri,2970,30257687,1,5922,461,-93.281032,37.214935
Drury University,Missouri,10450,31766186,2,4235,336,-93.287563,37.219243
Evangel University,Missouri,8890,17694108,2,1564,176,-93.261576,37.221479
Assemblies of God Theological Seminary,Missouri,,3717529,2,230,68,-93.261559,37.224376
Lester L Cox College of Nursing and Health Science,Missouri,5880,2311658,2,250,44,-93.289108,37.22589
CoxHealth School of Radiologic Technology,Missouri,1200,32362,2,27,9,-93.289108,37.22589
CoxHealth School of Diagnostic Medical Sonography,Missouri,3333,49500,2,13,,-93.289108,37.22589
Professional Massage Training Center,Missouri,,919694,3,27,0,-93.290918,37.229654
Baptist Bible College and Graduate School,Missouri,2466,7825908,2,926,,-93.284217,37.240666
Missouri College of Cosmetology North,Missouri,,950348,3,40,,-93.326773,37.241282
Central Bible College,Missouri,5600,10257300,2,949,258,-93.297052,37.25196
Cape Girardeau Career and Technology Center,Missouri,,815899,1,114,,-89.564697,37.271171
Trend Setters School of Cosmetology,Missouri,,567638,3,61,,-89.555808,37.284443
Texas County Technical Institute,Missouri,,864536,2,58,,-91.96477,37.29941
Southeast Missouri Hospital College of Nursing,Missouri,7260,353170,2,58,10,-89.545401,37.30258
Southeast Missouri State University,Missouri,5559,99941835,1,8863,1204,-89.54453,37.30272
Semo Hairstyling Academy,Missouri,,109700,3,5,0,-89.548052,37.305416
Metro Business College of Cape Girardeau,Missouri,7485,2401441,3,283,40,-89.571168,37.331668
Southwest Baptist University,Missouri,8940,26329903,2,3634,271,-93.407737,37.599449
Lebanon Technology and Career Center,Missouri,,1891051,1,27,,-92.677467,37.69161
Missouri Beauty Academy,Missouri,,154549,3,26,,-90.435742,37.786869
Waynesville Technical Academy,Missouri,,3546615,1,40,,-92.214358,37.810996
Central College of Cosmetology,Missouri,,39340,3,30,,-92.143969,37.814949
Cottey College,Missouri,8800,13956796,2,279,156,-94.369175,37.837568
Mineral Area College,Missouri,2370,15722609,1,2582,363,-90.482183,37.838774
Nevada Regional Technical Center,Missouri,,362782,1,41,,-94.362726,37.861481
Salem College of Hairstyling,Missouri,,158695,3,50,,-91.78492,37.94439
Rolla Technical Institute,Missouri,,2294386,1,239,,-91.752315,37.951425
Lake Career and Technical Center,Missouri,2800,27436077,1,30,,-92.73802,38.00803
Andrews Academy of Cosmetology,Missouri,,210635,3,36,,-91.158157,38.22234
Jefferson College,Missouri,2100,20240950,1,3997,426,-90.55539,38.258414
Tri County Technical School,Missouri,2600,824981,1,66,,-92.582136,38.349042
Clinton Technical School,Missouri,,13644127,1,1,,-93.769197,38.364184
ITT Technical Institute,Missouri,8073,3675920,3,235,27,-90.386216,38.409041
East Central College,Missouri,2208,14962786,1,3209,303,-90.960109,38.412955
Linn State Technical College,Missouri,5208,12404792,1,757,151,-91.81414,38.47081
Allied College South,Missouri,,2226611,3,145,25,-90.443572,38.512261
Sanford-Brown College,Missouri,8100,19146487,3,1313,275,-90.475605,38.523764
National Academy of Beauty Arts,Missouri,,1617130,3,138,,-90.362552,38.523961
North County Technical Special School District,Missouri,,374450,1,37,,-90.412864,38.540973
Four Rivers Career Center,Missouri,4900,865162,1,31,,-91.019796,38.547328
Nichols Career Center,Missouri,,928975,1,83,,-92.177288,38.562414
Lincoln University,Missouri,4536,38882787,1,3347,549,-92.167986,38.564605
Saint Louis Community College-Meramec,Missouri,1950,160122305,1,26749,3316,-90.420767,38.566928
Merrell University of Beauty Arts and Science,Missouri,,167270,3,21,,-92.19876,38.57106
Kenrick Glennon Seminary,Missouri,,3720000,2,69,77,-90.323892,38.585085
Lutheran School of Nursing,Missouri,7140,862340,3,70,,-90.226074,38.59066
Eden Theological Seminary,Missouri,,5563726,2,192,82,-90.344355,38.591458
Webster University,Missouri,12150,104251745,2,12826,3842,-90.345508,38.591473
Grabber School of Hair Design,Missouri,,460832,3,43,,-90.525032,38.5931
Midwest Institute,Missouri,,940715,3,87,,-90.4098,38.599615
Healing Arts Center,Missouri,,905258,3,101,18,-90.322945,38.614694
Missouri College,Missouri,7145,4314680,3,421,63,-90.334955,38.627624
St Louis College of Health Careers,Missouri,,2357233,3,357,,-90.260614,38.631609
Harris-Stowe State University,Missouri,4066,15206983,1,1752,354,-90.224602,38.632518
Patricia Stevens College,Missouri,8242,827325,3,134,24,-90.201181,38.632671
Logan College of Chiropractic,Missouri,3040,16655103,2,954,161,-90.535786,38.634076
Aquinas Institute of Theology,Missouri,,2213749.42,2,245,31,-90.237404,38.635043
Lecole Culinaire,Missouri,9690,2158147,3,162,30,-90.39192,38.63528
Barnes-Jewish College of Nursing and Allied Health,Missouri,6920,5294265,2,479,60,-90.259061,38.63695
St Louis College of Pharmacy,Missouri,12600,19120827,2,887,181,-90.260414,38.63714
Saint Louis University-Main Campus,Missouri,17230,429495060,2,14062,4697,-90.23264,38.63753
Concordia Seminary,Missouri,,16014365,2,545,140,-90.311791,38.637623
Missouri Baptist University,Missouri,9090,10542996,2,2974,214,-90.46318,38.64196
Fontbonne University,Missouri,11184,15807959,2,2076,311,-90.315371,38.6431
Covenant Theological Seminary,Missouri,,9328209,2,789,189,-90.452894,38.644407
Maryville University of Saint Louis,Missouri,12160,24523219,2,3060,469,-90.504387,38.646729
Washington University in St Louis,Missouri,23400,1539631144,2,12088,9800,-90.304,38.64778
Ranken Technical College,Missouri,7155,16612472,2,1353,105,-90.249404,38.653027
Cass Career Center,Missouri,,199846,1,23,,-94.336052,38.657096
St Louis Hair Academy,Missouri,,176291,3,28,,-90.215757,38.665448
State Fair Community College,Missouri,3276,17118108,1,2790,266,-93.269552,38.699104
Hickey College,Missouri,8420,3481098,3,329,46,-90.4468,38.70042
Deaconess College of Nursing,Missouri,8500,1825133,3,246,31,-90.436092,38.70285
American College of Hair Design Inc,Missouri,,132757,3,,,-93.269302,38.713567
Vatterott College,Missouri,6206,26694690,3,1700,122,-90.31262,38.723858
Patsy and Robs Academy of Beauty,Missouri,,626238,3,82,,-90.402616,38.732469
Patsy and Robs Academy of Beauty,Missouri,,979734,3,55,5,-90.640064,38.744378
Allied College North,Missouri,,2347921,3,299,38,-90.465179,38.755244
University of Phoenix-St Louis Campus,Missouri,,1328000,3,,,-90.467139,38.755952
Central Missouri State University,Missouri,5940,120495602,1,10894,1508,-93.738465,38.759107
St Charles Community College,Missouri,2910,24807764,1,5526,522,-90.636752,38.759686
ITT Technical Institute,Missouri,8073,6161552,3,467,49,-90.462274,38.760315
Warrensburg Area Career Center,Missouri,,248574,1,50,,-93.710815,38.76087
Everest College-Earth City,Missouri,,2616271,3,174,0,-90.459921,38.761678
Elaine Steven Beauty College,Missouri,,492261,3,163,,-90.279605,38.761979
Missouri Tech,Missouri,8850,1954832,3,201,32,-90.522986,38.768141
Saint Louis Christian College,Missouri,4950,2915567,2,203,75,-90.295288,38.774748
Lindenwood University,Missouri,10400,44422606,2,5847,459,-90.497065,38.78532
Le Cordon Bleu College of Culinary Arts-St Louis,Missouri,,4604983,3,396,33,-90.618352,38.799137
Urshan Graduate School of Theology,Missouri,,680913,2,58,12,-90.364397,38.802894
Midwest University,Missouri,,1491025,2,,,-90.831437,38.832938
Calvary Bible College and Theological Seminary,Missouri,5100,2932791,2,281,,-94.547241,38.839662
Westminster College,Missouri,13490,14729306,2,686,194,-91.954233,38.84865
William Woods University,Missouri,12900,14689948,2,1318,222,-91.94643,38.86129
Columbia Area Vocational Technical School,Missouri,,-12305,1,119,,-92.33515,38.904394
Longview Community College,Missouri,3600,97991017,1,17551,2013,-94.451005,38.91007
Avila University,Missouri,11800,13028341,2,1438,297,-94.593446,38.913326
DeVry University-Missouri,Missouri,7778,27518771,3,2555,332,-94.583616,38.922457
Boonslick Technical Education Center,Missouri,,140885,1,15,,-92.773395,38.938632
Heritage College,Missouri,,5135796,3,497,50,-94.577241,38.939381
University of Phoenix-Kansas City Campus,Missouri,9600,3237000,3,261,,-94.5793,38.939618
Pinnacle Career Institute,Missouri,7200,2678551,3,360,44,-94.579693,38.943557
University of Missouri-Columbia,Missouri,11892,1511001571,1,54757,23269,-92.32871,38.94521
Stephens College,Missouri,15160,12093810,2,788,170,-92.323617,38.95142
Columbia College,Missouri,9808,28336372,2,8002,321,-92.326271,38.956636
Massage Therapy Training Institute,Missouri,10400,2345061,3,286,,-94.60441,38.963486
Cosmetology Concepts Institute,Missouri,,157820,3,14,,-92.309889,38.968537
Saint Lukes College,Missouri,7700,4846114,2,109,24,-94.604249,38.97759
High-Tech Institute-Kansas City,Missouri,,6712155,3,609,,-94.608267,38.978073
Research College of Nursing,Missouri,,,3,175,48,-94.55729,39.006914
Nazarene Theological Seminary,Missouri,,3150388,2,279,58,-94.569062,39.012553
House of Heavilin Beauty College,Missouri,,1079611,3,160,,-94.574037,39.022962
Rockhurst University,Missouri,12500,35637185,2,2955,463,-94.573156,39.032695
Kansas City Art Institute,Missouri,16104,13937487,2,559,187,-94.58424,39.047146
ITT Technical Institute-Kansas City,Missouri,13896,1421707,3,140,28,-94.473142,39.048352
Aviation Institute of Maintenance-Kansas City,Missouri,23040,1598438,3,142,,-94.497422,39.050309
National American University-Independence,Missouri,8880,2090710,3,320,47,-94.359641,39.051638
Concorde Career Institute,Missouri,,1491000,3,260,44,-94.590111,39.068156
Independence College of Cosmetology,Missouri,,650839,3,73,,-94.426554,39.079568
Truman Medical Center School for Nurse Anesthesia,Missouri,,70539,1,33,15,-94.575797,39.084877
Saint Paul School of Theology,Missouri,,15604166,2,327,75,-94.522539,39.094118
Kansas City University of Medicine and Biosciences,Missouri,,29953839,2,864,228,-94.560732,39.106711
Missouri Valley College,Missouri,10500,10295791,2,1570,151,-93.190275,39.108836
Saline County Career Center,Missouri,,530453,1,30,,-93.210907,39.115623
Central Methodist University-College of Liberal Arts & Sciences,Missouri,10860,18920669,2,1260,207,-92.684987,39.148159
Lex La-Ray Technical Center,Missouri,3800,223796,1,42,,-93.867686,39.17373
Midwestern Baptist Theological Seminary,Missouri,1400,5551067,2,,128,-94.576602,39.186264
Wentworth Military Academy,Missouri,10135,6554220,2,347,20,-93.87344,39.186399
Park University,Missouri,4452,29544708,2,8469,246,-94.67967,39.187875
Paris II Educational Center,Missouri,,739616,3,73,,-94.576189,39.218444
Pike-Lincoln Technical Center,Missouri,3600,514209,1,48,,-91.016843,39.244429
William Jewell College,Missouri,13020,37287209,2,1500,314,-94.411911,39.247844
GRANTHAM UNIVERSITY,Missouri,,,3,,,-94.663318,39.25036
National American University-Zona Rosa,Missouri,12912,3015313,3,308,39,-94.666638,39.251601
Northland Career Center,Missouri,5000,1809935,1,50,,-94.768964,39.356489
Central Christian College of the Bible,Missouri,3625,2412127,2,135,34,-92.428972,39.394713
Moberly Area Technical Center,Missouri,1650,141069,1,12,,-92.422519,39.395814
Moberly Area Community College,Missouri,3300,11948996,1,2606,279,-92.452851,39.419598
Hannibal Career and Technical Center,Missouri,,547985,1,45,,-91.391755,39.723075
Hannibal-Lagrange College,Missouri,8160,13100918,2,1139,173,-91.388441,39.72568
Missouri Western State University,Missouri,4830,41827584,1,5157,629,-94.785833,39.759451
Hillyard Technical Center,Missouri,,83335723,1,85,,-94.812493,39.769636
Chillicothe Beauty Academy Inc,Missouri,,173194,3,22,,-93.551352,39.792603
Grand River Technical School,Missouri,,2023651,1,81,,-93.559225,39.79852
North Central Missouri College,Missouri,2700,8037518.91,1,1319,113,-93.617606,40.077487
Culver-Stockton College,Missouri,10100,13048416,2,870,207,-91.52691,40.1303
Kirksville Area Technical Center,Missouri,,586073,1,58,,-92.567235,40.186896
Truman State University,Missouri,6344,84334891,1,6236,890,-92.583118,40.190011
A T Still University of Health Sciences,Missouri,,36454535,2,966,475,-92.587543,40.19268
Hair Academy 110,Missouri,,318858,3,6,,-92.583057,40.194826
Conception Seminary College,Missouri,8160,1940721,2,92,18,-94.683741,40.242297
Northwest Missouri State University,Missouri,4260,65047591,1,6462,714,-94.881514,40.351167
The University of Montana-Western,Montana,4810,12087899,1,1081,161,-112.639347,45.210621
Little Big Horn College,Montana,1620,3086927,1,207,,-107.45972,45.60139
Chief Dull Knife College,Montana,700,111308,1,,60,-106.66456,45.62566
Montana State University-Bozeman,Montana,7842,207891452,1,11658,2996,-111.04942,45.66509
Health Works Institute,Montana,7900,451638,3,50,,-111.04021,45.678145
Academy of Cosmetology Inc,Montana,,267667,3,17,,-111.039193,45.680365
Academy of Nail Skin and Hair LLP,Montana,,342712,3,60,,-108.539126,45.777051
Montana State University-Billings,Montana,7885,37816089,1,4267,568,-108.521686,45.794981
Rocky Mountain College,Montana,11568,13639093,2,801,187,-108.553596,45.795002
Montana Tech of the University of Montana,Montana,7352,25771596.13,1,2460,392,-112.554152,46.012301
Butte Academy of Beauty Culture,Montana,,146191,3,25,,-112.540593,46.012603
Miles Community College,Montana,4200,4737820.5,1,590,67,-105.827179,46.404642
Montana University System-System Office,Montana,,,1,,,-111.99406,46.58422
University of Montana-Helena College of Technology,Montana,4538,4479949,1,765,99,-112.016706,46.595467
Carroll College,Montana,11778,17205220,2,1186,264,-112.041289,46.600848
Modern Beauty School Inc,Montana,,219987,3,40,,-114.02891,46.844003
The University of Montana,Montana,7619,154896711,1,11484,2442,-113.98593,46.86119
Dawson Community College,Montana,4256,4724341,1,,110,-104.722034,47.085957
Montana State University-College of Technology-Great Falls,Montana,5334,5561272.97,1,,118,-111.270736,47.487493
University of Great Falls,Montana,8160,8953974,2,937,,-111.272987,47.490828
Dahls College of Beauty,Montana,,147462,3,21,,-111.295255,47.505228
Salish Kootenai College,Montana,7560,13560330,2,1075,307,-114.112938,47.600122
Fort Peck Community College,Montana,1200,5468228,1,370,65,-105.19298,48.11373
Flathead Valley Community College,Montana,4725,8872241,1,1783,229,-114.328355,48.225899
Stone Child College,Montana,1680,6164211,1,188,58,-110.021292,48.320566
Fort Belknap College,Montana,1260,3987094,1,266,20,-108.78364,48.53309
Montana State University-Northern,Montana,7070,15935498,1,1606,227,-109.685745,48.543477
Blackfeet Community College,Montana,1620,7665674,2,291,47,-113.022682,48.555957
Nebraska Indian Community College,Nebraska,1440,2069433,1,,47,-84.23352,39.81852
Peru State College,Nebraska,3750,10831761,1,1664,287,-95.731967,40.475769
Hastings College,Nebraska,11916,9371817,2,1148,236,-98.374916,40.590339
Mary Lanning Memorial Hospital School of Radiologic Technology,Nebraska,,24200,2,,,-98.388374,40.591771
Doane College,Nebraska,12010,32515430,2,2163,352,-96.951964,40.622642
University of Nebraska at Kearney,Nebraska,3975,54995006,1,6780,883,-99.093974,40.700729
College of Hair Design-East Campus,Nebraska,,2501503,3,92,22,-96.597121,40.732104
Myotherapy Institute,Nebraska,,,3,,,-96.64171,40.75227
Union College,Nebraska,10590,16309815,2,856,213,-96.653944,40.774968
BryanLGH College of Health Sciences,Nebraska,,308996305,2,123,,-96.650883,40.797343
Hamilton College-Lincoln Campus,Nebraska,8100,3947308.5,3,357,53,-96.694716,40.809119
Southeast Community College Area,Nebraska,1508,46332350,1,7351,491,-96.62818,40.81079
College of Hair Design,Nebraska,,1253640,3,24,,-96.705464,40.811295
Josephs College of Beauty-Lincoln,Nebraska,,2024753,3,214,,-96.641649,40.813288
Doane College-Lincoln Grand Island and Master,Nebraska,4530,8041108,2,1560,,-96.648898,40.816114
University of Nebraska at Lincoln,Nebraska,7125,592740007,1,35658,10077,-96.701132,40.816933
University of Nebraska Central Administration System Office,Nebraska,,56422535,1,,,-96.665758,40.827977
Nebraska Wesleyan University,Nebraska,12584,25173925,2,1675,396,-96.651047,40.839373
York College,Nebraska,7200,8133947,2,509,98,-97.580362,40.86866
Central Community College,Nebraska,1890,35468601,1,7095,1522,-98.374998,40.888
Concordia University,Nebraska,11876,19387664,2,1158,257,-97.091868,40.916635
Nebraska Christian College,Nebraska,4350,2021787,2,130,31,-96.090853,41.128957
Bellevue University,Nebraska,3870,22407007,2,3035,237,-95.917799,41.151456
Xenon International School of Hair Design II Inc,Nebraska,,599825,3,63,,-96.044093,41.201259
Omaha School of Massage Therapy,Nebraska,,947826,3,69,,-96.064591,41.203061
Capitol School of Hairstyling West,Nebraska,,1471389,3,73,,-96.081495,41.210069
ITT Technical Institute,Nebraska,8073,3780127,3,302,26,-96.067377,41.211476
College of Saint Mary,Nebraska,12428,10589253,2,1071,221,-96.020177,41.237959
Alegent Health School of Radiologic Technology,Nebraska,,26200,2,16,,-96.028859,41.237961
Grace University,Nebraska,7440,10812173,2,563,116,-95.928065,41.246993
Clarkson College,Nebraska,6768,5628504,2,406,100,-95.97568,41.259664
University of Nebraska Medical Center,Nebraska,8902,270352983,1,2590,2865,-95.94047,41.26068
Creighton University,Nebraska,13566,228611717,2,6325,2426,-95.948624,41.264875
University of Phoenix-Omaha Campus,Nebraska,9450,1482000,3,115,59,-96.122593,41.265373
Nebraska Methodist College of Nursing & Allied Health,Nebraska,6528,7184570,2,414,88,-96.047815,41.266212
The Creative Center,Nebraska,,1148617,3,100,,-96.082872,41.28956
Metropolitan Community College Area,Nebraska,1485,48141186,1,11668,613,-95.956556,41.30668
Hamilton College-Omaha Campus,Nebraska,7800,3780564,3,466,64,-96.073743,41.307359
Universal College of Healing Arts,Nebraska,8850,536895,3,48,0,-95.961249,41.339098
Midland Lutheran College,Nebraska,13320,17090865,2,1036,182,-96.490672,41.437412
La'James International College,Nebraska,,555328,3,71,,-96.482186,41.444947
Dana College,Nebraska,12150,10568072,2,538,120,-96.156109,41.551679
Summit Christian College,Nebraska,1920,,2,51,,-103.6755,41.828526
Fullen School of Hair Design,Nebraska,,116037,3,,,-103.662693,41.865392
Regional West Medical Center School of Radiologic Technology,Nebraska,1000,6969,2,5,,-103.668428,41.883461
Northeast Community College,Nebraska,1648,20515900,1,4671,317,-97.39416,42.04738
Little Priest Tribal College,Nebraska,,1671172,2,147,,-96.47287,42.23612
Wayne State College,Nebraska,3750,25784718,1,3601,435,-97.017926,42.239508
Chadron State College,Nebraska,3750,22374096,1,2768,317,-103.00187,42.821277
Nevada State College at Henderson,Nevada,7920,4071164,1,177,45,-114.938075,35.987217
Euphoria Institute of Beauty Arts & Sciences,Nevada,,2705401,3,55,,-115.102585,35.991298
DeVry University-Nevada,Nevada,9990,61942,3,,,-115.096435,36.019644
International Academy of Design and Technology,Nevada,19800,5720752,3,378,81,-115.097228,36.021638
Art Institute of Las Vegas,Nevada,,1813524,3,152,,-115.088151,36.02575
Las Vegas College,Nevada,7920,3593160,3,431,53,-115.04609,36.03777
ITT Technical Institute,Nevada,8073,4869158,3,327,34,-115.029257,36.039642
University of Southern Nevada,Nevada,,13214222,2,384,63,-115.06471,36.072797
Casal Institute of Nevada,Nevada,,1966040,3,84,18,-115.118873,36.101192
Institute of Professional Careers,Nevada,,135876,3,22,,-115.118997,36.107431
University of Nevada-Las Vegas,Nevada,8492,224005000,1,21820,3174,-115.137461,36.107751
Pima Medical Institute,Nevada,,2048568,3,294,,-115.102333,36.115118
Heritage College,Nevada,,4042196,3,246,48,-115.188456,36.144304
Euphoria Institute of Beauty Arts & Sciences,Nevada,,2447889,3,160,,-115.298548,36.144542
High-Tech Institute-Las Vegas,Nevada,,4548820,3,263,40,-115.173196,36.146235
Academy of Hair Design,Nevada,,1298685,3,97,,-115.210189,36.15899
Community College of Southern Nevada,Nevada,3225,83423568,1,33402,920,-115.233652,36.159035
ACADEMY OF MEDICAL AND BUSINESS CAREERS,Nevada,,4880706,3,389,44,-115.169977,36.16186
Marinello School of Beauty,Nevada,,411179,3,79,,-115.064625,36.173967
University of Phoenix-Las Vegas Campus,Nevada,6000,11954385.32,3,1935,289,-115.255432,36.181243
Le Cordon Bleu College of Culinary Arts-Las Vegas,Nevada,17500,16879652,3,576,,-115.312947,36.188809
Expertise School of Beauty,Nevada,,540300,2,39,,-115.16444,36.193769
Northwest Health Careers,Nevada,,1128417,3,117,0,-115.255417,36.203462
Euphoria Institute of Beauty Arts & Sciences,Nevada,,2173760,3,257,22,-115.206359,36.279439
Carson City Beauty Academy,Nevada,,378044,3,55,,-119.762658,39.15036
Western Nevada Community College,Nevada,4974,18453000,1,5022,688,-119.788739,39.186344
Sierra Nevada College,Nevada,11400,7587549,2,584,159,-119.937405,39.245094
University of Phoenix-Northern Nevada Campus,Nevada,9750,5505643,3,521,27,-119.754951,39.429859
Morrison University,Nevada,5580,810266,3,114,28,-119.756959,39.432172
PRATER WAY COLLEGE OF BEAUTY,Nevada,,,3,,,-119.760781,39.485971
Milan Institute of Cosmetology,Nevada,,2273386,3,194,24,-119.780707,39.51497
University of Nevada-Reno,Nevada,6347,289217937,1,12532,3684,-119.81425,39.538779
Career College of Northern Nevada,Nevada,5920,1684703,3,263,37,-119.718421,39.541607
Nevada System of Higher Education-System Office,Nevada,,18439000,1,,,-119.812125,39.550766
Truckee Meadows Community College,Nevada,1230,33373402.29,1,9987,1026,-119.789625,39.573531
Great Basin College,Nevada,5168,11014000,1,2507,345,-115.768435,40.841794
Rivier College,New Hampshire,13950,19777162,2,2592,322,-71.45938,42.742694
New Hampshire Institute for Therapeutic Arts,New Hampshire,,482303,3,32,,-71.426369,42.744851
Saint Joseph School of Practical Nursing,New Hampshire,,74844668,2,85,,-71.478598,42.750827
Franklin Pierce College,New Hampshire,17250,33547998,2,3126,491,-72.057028,42.773135
Daniel Webster College,New Hampshire,15330,15931810,2,1043,166,-71.511517,42.775539
Continental Academie of Hair Design,New Hampshire,,585542,3,53,,-71.444768,42.776639
New Hampshire Community Technical College-Nashua/Claremont,New Hampshire,8096,9331074,1,1957,498,-71.523891,42.793589
Thomas More College of Liberal Arts,New Hampshire,9600,1774174,2,72,11,-71.484345,42.808341
Keene Beauty Academy,New Hampshire,,11675852,3,51,,-72.319098,42.94812
Michaels School of Hair Design and Esthetics,New Hampshire,,721326,3,74,,-71.478911,42.958127
Chester College of New England,New Hampshire,9500,1428164,2,102,43,-71.261751,42.959872
Hesser College,New Hampshire,8640,16020258,3,3527,170,-71.468351,42.97324
Continental Academie of Hair Design,New Hampshire,,283464,3,32,,-71.453057,42.980897
Saint Anselm College,New Hampshire,17300,45668980,2,2003,551,-71.50627,42.98767
New Hampshire Institute of Art,New Hampshire,6300,,2,55,,-71.458915,42.992792
New Hampshire Community Technical College-Manchester/Stratham,New Hampshire,8096,12589336,1,3602,784,-71.480862,43.01884
Southern New Hampshire University,New Hampshire,13800,42600219,2,5594,1170,-71.451101,43.042401
Portsmouth Beauty School of Hair Design,New Hampshire,,192776,3,22,,-70.759801,43.07606
University System of New Hampshire System Office,New Hampshire,,5055156,1,,,-70.927833,43.134614
University of New Hampshire-Main Campus,New Hampshire,14340,419228623,1,25368,4516,-70.930118,43.135822
New England College,New Hampshire,17674,13646979,2,768,209,-71.821885,43.177582
Franklin Pierce Law Center,New Hampshire,,10804684,2,463,75,-71.545086,43.206765
New Hampshire Technical Institute,New Hampshire,8096,14996468,1,2655,769,-71.529955,43.223466
Empire Beauty School-Somersworth,New Hampshire,,1117665,3,94,,-70.904719,43.261022
Magdalen College,New Hampshire,6950,,2,66,,-71.836332,43.321056
Colby-Sawyer College,New Hampshire,18060,23045204,2,808,223,-71.978564,43.411561
Empire Beauty School-Laconia,New Hampshire,,955674,3,88,,-71.468975,43.526045
New England School of Hair Design Inc,New Hampshire,,379812,3,59,,-72.321126,43.62848
Upper Valley Teacher Institute,New Hampshire,,531375,2,38,,-72.230721,43.637925
Lebanon College,New Hampshire,3500,431500,2,466,,-72.25345,43.642274
Dartmouth College,New Hampshire,24624,1206302851,2,5344,3473,-72.288576,43.704819
New Hampshire Community Technical College-Berlin/Laconia,New Hampshire,8096,9231414,1,1345,517,-71.158748,44.510805
Prism Career Institute,New Jeresy,,3590955,3,156,,-74.489954,39.378398
Shore Beauty School,New Jeresy,,339108,3,43,,-74.524053,39.392417
Cumberland County College,New Jeresy,8400,15392227,1,2662,288,-75.054685,39.438417
Atlantic Cape Community College,New Jeresy,5838,26545197,1,4811,626,-74.683979,39.465848
The Richard Stockton College of New Jersey,New Jeresy,5312,74598761,1,6298,829,-74.55515,39.47872
Salem Community College,New Jeresy,2250,7752744,1,1244,153,-75.469827,39.703855
Rowan University,New Jeresy,7500,128566927,1,9636,1550,-75.124697,39.710384
Divers Academy International,New Jeresy,,1708392,3,60,,-74.998547,39.747821
Camden County College,New Jeresy,1890,46470603,1,11821,980,-75.03879,39.78558
Gloucester County College,New Jeresy,7168,22509935,1,4752,498,-75.126977,39.785863
Star Technical Institute,New Jeresy,,36245676,3,353,,-74.991901,39.845185
Rizzieri Aveda School for Beauty and Wellness,New Jeresy,,938866,3,95,,-75.002279,39.849316
P B Cosmetology Education Center,New Jeresy,,1288524,3,131,,-75.125832,39.899127
Omega Institute,New Jeresy,,982561,3,104,,-75.077615,39.933638
The Chubb Institute-Cherry Hill,New Jeresy,,3674055,3,315,,-75.026038,39.939241
Cooper Health System Center for Allied Health Education,New Jeresy,,346270000,2,70,,-75.115763,39.940848
Harris School of Business,New Jeresy,,213297,3,97,,-75.02505,39.94265
Rutgers University-Camden,New Jeresy,9692,1160280000,1,49465,11336,-75.119827,39.947793
Burlington County College,New Jeresy,4335,29892565,1,5733,538,-74.636146,39.966456
Ocean County Vocational-Technical School,New Jeresy,,17646224,1,439,,-74.192821,39.985398
Ocean County College,New Jeresy,3776,36117656,1,7256,616,-74.16355,40.00504
Performance Training,New Jeresy,,429720,3,28,0,-74.223429,40.029916
Capri Institute of Hair Design,New Jeresy,,598314,3,141,,-74.142819,40.037634
Beth Medrash Govoha,New Jeresy,4360,20814949,2,2760,130,-74.220558,40.095469
Yeshiva Toras Chaim,New Jeresy,10000,1806475,2,135,,-74.182721,40.09832
Georgian Court University,New Jeresy,12134,25381261,2,2420,449,-74.225587,40.098784
Bais Medrash Toras Chesed,New Jeresy,6280,1063656,2,92,,-74.211529,40.099645
Talmudical Academy-New Jersey,New Jeresy,4100,455405,2,18,10,-74.2354,40.2123
Monmouth County Vocational School District,New Jeresy,,2565820,1,913,,-74.03545,40.214741
St Francis Medical Center-School of Radiologic Technology,New Jeresy,,109806,2,8,,-74.741916,40.217299
Saint Francis Medical Center School of Nursing,New Jeresy,3586,712173,2,35,,-74.741916,40.217299
Thomas Edison State College,New Jeresy,,20441229,1,8538,190,-74.764038,40.220099
Mercer County Community College,New Jeresy,3888,41761925,1,7846,1335,-74.653571,40.251147
Concorde School of Hair Design-Wanamassa,New Jeresy,,1655142,3,260,,-74.0394,40.25183
The College of New Jersey,New Jeresy,7762,122448000,1,6747,1268,-74.78288,40.271395
Rider University,New Jeresy,16520,82727043,2,5347,1113,-74.732325,40.278803
Monmouth University,New Jeresy,15138,89824956,2,5425,992,-74.003885,40.281717
Gentle Healing School of Massage,New Jeresy,,137651,3,33,14,-74.507084,40.318646
Brookdale Community College,New Jeresy,9000,65682331,1,11575,1181,-74.131441,40.331995
Princeton Theological Seminary,New Jeresy,,93124389,2,752,367,-74.665246,40.345733
Princeton University,New Jeresy,24630,2655234048,2,6440,5178,-74.659059,40.348452
DeVry University-New Jersey,New Jeresy,7778,37034346,3,3640,389,-74.438437,40.466063
The Chubb Institute-North Brunswick,New Jeresy,,4566429,3,594,,-74.44444,40.46731
Rabbi Jacob Joseph School,New Jeresy,5300,1787814,2,52,12,-74.39944,40.49991
New Brunswick Theological Seminary,New Jeresy,,2910301,2,224,36,-74.447696,40.501534
Middlesex County College,New Jeresy,3146,54703415,1,10331,919,-74.373224,40.506814
Reignbow Beauty Academy,New Jeresy,,908770,3,139,,-74.267545,40.508913
PC Age II,New Jeresy,,879918,3,52,,-74.394602,40.53458
